pays,population_totale_2017,croissance_pop_2012_2017_pct,pib_habitant_usd,indice_stabilite_politique,indice_score_epi,conso_volaille_kg_hab,conso_volaille_pct,importations_volaille_kg,tdi_volaille_pct
Afghanistan,36296113.000,16.478,533.339,-2.790,37.740,1.530,17.810,29000000.000,50.880
Afrique du Sud,57009756.000,7.906,6612.920,-0.280,44.730,35.690,59.470,514000000.000,23.570
Albanie,2884169.000,-1.027,4492.285,0.370,65.460,16.360,34.430,38000000.000,74.510
Algérie,41389189.000,10.714,4080.111,-0.920,57.180,6.380,35.350,2000000.000,0.720
Allemagne,82658409.000,2.082,45281.719,0.570,78.370,19.470,22.180,842000000.000,35.740
Angola,29816766.000,18.754,4039.177,-0.390,37.440,10.560,44.970,277000000.000,86.830
Antigua-et-Barbuda,95426.000,5.549,16924.339,0.730,59.180,54.100,75.110,7000000.000,100.000
Arabie saoudite,33101179.000,13.536,23227.385,-0.650,57.470,43.360,80.120,722000000.000,53.960
Argentine,43937140.000,5.226,14532.501,0.160,59.300,42.240,38.620,8000000.000,0.370
Arménie,2944791.000,2.100,3954.581,-0.630,62.070,16.060,35.180,35000000.000,76.090
Australie,24584620.000,7.338,57085.773,0.880,74.120,47.650,39.190,16000000.000,1.250
Autriche,8819901.000,3.736,47157.249,1.030,78.970,18.200,20.870,110000000.000,42.640
Azerbaïdjan,9845320.000,6.267,4099.573,-0.750,62.330,13.110,38.470,27000000.000,20.610
Bahamas,381755.000,4.998,31337.130,0.980,54.990,43.170,64.390,24000000.000,80.000
Bangladesh,159685424.000,5.748,1781.644,-1.250,29.560,1.500,37.130,0.000,0.000
Barbade,286232.000,0.892,19692.761,0.950,55.760,46.780,65.550,2000000.000,11.760
Bélarus,9450231.000,0.352,5763.124,-0.060,64.980,27.980,34.340,21000000.000,4.340
Belgique,11419748.000,3.017,44029.818,0.420,77.380,12.650,19.230,338000000.000,42.200
Belize,375769.000,11.174,6112.673,0.030,57.790,25.690,62.520,0.000,0.000
Bénin,11175198.000,14.862,1054.974,0.030,38.170,14.400,71.110,123000000.000,87.230
Bolivie (État plurinational de),11192855.000,7.855,3306.306,-0.280,55.980,36.000,50.430,1000000.000,0.190
Bosnie-Herzégovine,3351525.000,-7.030,5345.020,-0.350,41.840,16.700,46.350,10000000.000,14.080
Botswana,2205080.000,8.116,7104.974,1.010,51.700,3.390,13.870,3000000.000,37.500
Brésil,207833823.000,4.289,10080.508,-0.480,60.700,48.030,48.110,3000000.000,0.020
Bulgarie,7102444.000,-3.157,8362.166,0.320,67.850,22.060,37.840,108000000.000,50.230
Burkina Faso,19193234.000,15.822,709.092,-0.930,42.830,2.270,18.900,0.000,0.000
Cabo Verde,537498.000,6.386,3893.096,0.760,56.940,17.620,54.750,12000000.000,92.310
Cambodge,16009409.000,8.315,1809.385,0.090,43.230,2.340,18.960,10000000.000,26.320
Cameroun,24566073.000,14.339,1496.090,-1.090,40.810,3.160,26.380,0.000,0.000
Canada,36732095.000,5.183,44806.656,1.090,72.180,39.020,47.230,182000000.000,11.380
